duration:180.80416666666667
      note      start        end
instrument:25
        59        0.8 0.8208333333333333
        60      0.825 0.8458333333333333
        61       0.85 1.1958333333333333
        59        1.2 1.3958333333333333
        57        1.4 1.5958333333333332
        56        1.6 3.1958333333333333
        52        3.8 3.8208333333333333
        53 3.8249999999999997 3.845833333333333
        54       3.85 4.195833333333333
        56        4.2 4.395833333333333
        57        4.4 4.595833333333333
        59        4.6 4.795833333333333
        56        4.8 6.395833333333333
        52        7.0 7.020833333333333
        53 7.0249999999999995 7.045833333333333
        54       7.05 7.395833333333333
        56 7.3999999999999995 7.595833333333333
        57        7.6 7.795833333333333
        59        7.8 7.995833333333334
        56        8.0 9.595833333333333
        51       10.0 10.195833333333333
        52       10.2 10.395833333333334
        52 10.404166666666667 10.420833333333333
        53 10.429166666666667 10.445833333333333
        54 10.454166666666666 10.795833333333333
        52       10.8 10.995833333333334
        51       11.0 11.195833333333333
        49       11.2 11.595833333333333
        54 11.604166666666666 11.620833333333334
        55 11.629166666666666 11.645833333333334
        56 11.654166666666667 12.795833333333333
        59       13.6 13.620833333333334
        60     13.625 13.645833333333334
        61      13.65 13.995833333333334
        59       14.0 14.195833333333333
        57       14.2 14.395833333333334
        56       14.4 15.995833333333334
        52       16.6 16.620833333333334
        53     16.625 16.645833333333332
        54      16.65 16.995833333333334
        56       17.0 17.195833333333333
        57       17.2 17.395833333333332
        59       17.4 17.59583333333333
        56       17.6 19.195833333333333
        52       19.8 19.820833333333333
        53     19.825 19.84583333333333
        54      19.85 20.195833333333333
        56       20.2 20.395833333333332
        57       20.4 20.59583333333333
        59       20.6 20.795833333333334
        56       20.8 22.395833333333332
        51       22.8 22.995833333333334
        52       23.0 23.195833333333333
        52 23.204166666666666 23.22083333333333
        53 23.229166666666668 23.245833333333334
        54 23.254166666666666 23.59583333333333
        52       23.6 23.795833333333334
        51       23.8 23.995833333333334
        50 24.004166666666666 24.020833333333332
        51 24.029166666666665 24.045833333333334
        52 24.054166666666667 24.395833333333332
        49       24.4 25.995833333333334
        59       26.4 26.420833333333334
        60     26.425 26.445833333333333
        61      26.45 26.795833333333334
        59       26.8 26.995833333333334
        57       27.0 27.195833333333333
        56       27.2 28.795833333333334
        52       29.4 29.420833333333334
        53     29.425 29.445833333333333
        54      29.45 29.795833333333334
        56       29.8 29.995833333333334
        57       30.0 30.195833333333333
        59       30.2 30.395833333333332
        56       30.4 31.995833333333334
        52       32.6 32.62083333333333
        53     32.625 32.645833333333336
        54      32.65 32.99583333333333
        56       33.0 33.19583333333333
        57       33.2 33.395833333333336
        59       33.4 33.59583333333333
        56       33.6 35.19583333333333
        51       35.6 35.795833333333334
        52       35.8 35.99583333333333
        52 36.00416666666666 36.020833333333336
        53 36.02916666666667 36.045833333333334
        54 36.05416666666667 36.395833333333336
        52       36.4 36.59583333333333
        51       36.6 36.795833333333334
        49       36.8 37.19583333333333
        54 37.204166666666666 37.22083333333333
        55 37.229166666666664 37.24583333333333
        56 37.25416666666666 38.395833333333336
        59       39.2 39.22083333333333
        60     39.225 39.24583333333333
        61      39.25 39.59583333333333
        59       39.6 39.795833333333334
        57       39.8 39.99583333333333
        56       40.0 41.59583333333333
        52       42.2 42.22083333333333
        53     42.225 42.24583333333333
        54      42.25 42.59583333333333
        56       42.6 42.795833333333334
        57       42.8 42.99583333333333
        59       43.0 43.19583333333333
        56       43.2 44.795833333333334
        52       45.4 45.420833333333334
        53     45.425 45.44583333333333
        54      45.45 45.795833333333334
        56       45.8 45.99583333333333
        57       46.0 46.19583333333333
        59       46.2 46.395833333333336
